"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T02_021","T02","Geography_Australia","validation","validation","heldout_wording","normal","factual","F06","N06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_022","T02","Geography_Australia","validation","validation","heldout_wording","normal","nonfactual","F06","N06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_023","T02","Geography_Australia","validation","validation","heldout_wording","roleplay","factual","F06","R06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_024","T02","Geography_Australia","validation","validation","heldout_wording","roleplay","nonfactual","F06","R06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_025","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_026","T02","Geography_Australia","validation","validation","development","normal","factual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_027","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_028","T02","Geography_Australia","validation","validation","development","roleplay","factual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_029","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_030","T02","Geography_Australia","validation","validation","development","normal","factual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_031","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_032","T02","Geography_Australia","validation","validation","development","roleplay","factual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_033","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_034","T02","Geography_Australia","validation","validation","development","normal","factual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_035","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_036","T02","Geography_Australia","validation","validation","development","roleplay","factual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_037","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_038","T02","Geography_Australia","validation","validation","development","normal","factual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_039","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_040","T02","Geography_Australia","validation","validation","development","roleplay","factual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_041","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_042","T02","Geography_Australia","validation","validation","development","normal","factual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_043","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_044","T02","Geography_Australia","validation","validation","development","roleplay","factual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_045","T02","Geography_Australia","validation","validation","heldout_wording","normal","nonfactual","F06","N06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_046","T02","Geography_Australia","validation","validation","heldout_wording","normal","factual","F06","N06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_047","T02","Geography_Australia","validation","validation","heldout_wording","roleplay","nonfactual","F06","R06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is Sydney the capital of Australia?","Answer only Yes or No.","Yes","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
"D_T02_048","T02","Geography_Australia","validation","validation","heldout_wording","roleplay","factual","F06","R06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is Sydney the capital of Australia?","Answer only Yes or No.","No","No","Sydney is not the capital of Australia; Canberra is.","validated_pilot_v1"
