turn,question_set,answer_type,question_id,question,forced_answer,score,model
12,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,10.201891185232345,Gemma 3 4B
12,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,11.55417022025767,Gemma 3 4B
12,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-11.661139204538504,Gemma 3 4B
12,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,16.756040176071377,Gemma 3 4B
12,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,6.242294350373622,Gemma 3 4B
12,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-7.268012725852453,Gemma 3 4B
12,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-7.305214876573541,Gemma 3 4B
12,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,16.111348206438606,Gemma 3 4B
12,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,0.09529229597894442,Gemma 3 4B
12,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,3.8661961521664674,Gemma 3 4B
12,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,18.354943553423773,Gemma 3 4B
12,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-11.947008936861337,Gemma 3 4B
15,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,9.65363800405215,Gemma 3 4B
15,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,7.452815144484745,Gemma 3 4B
15,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,0.2268891638480748,Gemma 3 4B
15,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,8.617829381100844,Gemma 3 4B
15,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,11.031662547515252,Gemma 3 4B
15,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,9.315325711753815,Gemma 3 4B
15,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-11.795913011475585,Gemma 3 4B
15,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,17.57884070516489,Gemma 3 4B
15,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,8.14437538936647,Gemma 3 4B
15,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-10.933480746250108,Gemma 3 4B
15,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-0.6400165334047216,Gemma 3 4B
15,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,15.354693380639043,Gemma 3 4B
15,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-0.12756310585854577,Gemma 3 4B
15,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,2.475719887062988,Gemma 3 4B
15,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,17.212062065872615,Gemma 3 4B
15,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-13.602320383598695,Gemma 3 4B
18,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,10.749401239681323,Gemma 3 4B
18,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,5.799285775180232,Gemma 3 4B
18,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-0.35534292890802094,Gemma 3 4B
18,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,8.405297907852725,Gemma 3 4B
18,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,13.179779536981087,Gemma 3 4B
18,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,7.192008743415691,Gemma 3 4B
18,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-12.186257316911812,Gemma 3 4B
18,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,15.557281838331365,Gemma 3 4B
18,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,7.715271760974333,Gemma 3 4B
18,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-7.548333706771914,Gemma 3 4B
18,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-1.0355786307333212,Gemma 3 4B
18,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,14.771419654485562,Gemma 3 4B
18,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,0.10895214974113812,Gemma 3 4B
18,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,0.535443488875285,Gemma 3 4B
18,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,17.337220487454317,Gemma 3 4B
18,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-13.242004590805944,Gemma 3 4B
21,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,10.799272911259566,Gemma 3 4B
21,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,5.114893140723237,Gemma 3 4B
21,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-1.804575530092464,Gemma 3 4B
21,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,8.294887978041771,Gemma 3 4B
21,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,14.047422129215635,Gemma 3 4B
21,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,8.34097118575657,Gemma 3 4B
21,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-13.501992113536566,Gemma 3 4B
21,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,18.09724371363769,Gemma 3 4B
21,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,7.494549619788265,Gemma 3 4B
21,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-6.90259847411808,Gemma 3 4B
21,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-1.708317109832529,Gemma 3 4B
21,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,14.95746063983266,Gemma 3 4B
21,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-0.9679083448221573,Gemma 3 4B
21,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,1.9468002353144125,Gemma 3 4B
21,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,17.530416139506897,Gemma 3 4B
21,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-17.516383228456714,Gemma 3 4B
24,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,12.328335721753739,Gemma 3 4B
24,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,5.9233507522208795,Gemma 3 4B
24,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-3.0825019764008132,Gemma 3 4B
24,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,10.56260497596693,Gemma 3 4B
24,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,15.512384350107592,Gemma 3 4B
24,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,9.130607467137231,Gemma 3 4B
24,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-11.8969476354955,Gemma 3 4B
24,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,19.76560288841199,Gemma 3 4B
24,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,7.026637637532409,Gemma 3 4B
24,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-7.263574856917451,Gemma 3 4B
24,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-2.440966035297415,Gemma 3 4B
24,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,15.604079059844995,Gemma 3 4B
24,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-1.5857410306398472,Gemma 3 4B
24,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,0.7153363248833553,Gemma 3 4B
24,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,16.857035275355464,Gemma 3 4B
24,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-11.543009349288834,Gemma 3 4B
27,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,12.685126832752474,Gemma 3 4B
27,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,4.218764037110334,Gemma 3 4B
27,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-3.550449639410042,Gemma 3 4B
27,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,11.555008154774033,Gemma 3 4B
27,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,14.11263940540976,Gemma 3 4B
27,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,7.772067777153448,Gemma 3 4B
27,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-12.162226114570677,Gemma 3 4B
27,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,18.85441538611941,Gemma 3 4B
27,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,8.551217029690834,Gemma 3 4B
27,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-10.45938976876299,Gemma 3 4B
27,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-2.596100328718081,Gemma 3 4B
27,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,13.693865107592789,Gemma 3 4B
27,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-1.0883138901792089,Gemma 3 4B
27,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,0.8810728276858891,Gemma 3 4B
27,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,16.337830520906063,Gemma 3 4B
27,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-12.481557875355527,Gemma 3 4B
30,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,12.67902970097995,Gemma 3 4B
30,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,3.7541366428652965,Gemma 3 4B
30,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-2.491226037568307,Gemma 3 4B
30,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,8.99189874034779,Gemma 3 4B
30,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,13.458407872709309,Gemma 3 4B
30,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,6.184123535897611,Gemma 3 4B
30,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-10.62473198104868,Gemma 3 4B
30,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,16.0064091557098,Gemma 3 4B
30,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,5.9962629716286795,Gemma 3 4B
30,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-7.630001142473781,Gemma 3 4B
30,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-17.428851441209986,Gemma 3 4B
30,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,14.92459978101774,Gemma 3 4B
30,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-1.5113290983037921,Gemma 3 4B
30,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,2.2511372903235722,Gemma 3 4B
30,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.195592593629472,Gemma 3 4B
30,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-11.141933817456508,Gemma 3 4B
