"example_id","pair_id","topic","split","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T01_024","T01","Astronomy","unassigned","roleplay","nonfactual","F06","R06","true_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit the Sun?","Answer only Yes or No.","No","Yes","Earth orbits the Sun.","draft"
"D_T01_025","T01","Astronomy","unassigned","normal","nonfactual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_026","T01","Astronomy","unassigned","normal","factual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_027","T01","Astronomy","unassigned","roleplay","nonfactual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_028","T01","Astronomy","unassigned","roleplay","factual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_029","T01","Astronomy","unassigned","normal","nonfactual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_030","T01","Astronomy","unassigned","normal","factual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_031","T01","Astronomy","unassigned","roleplay","nonfactual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_032","T01","Astronomy","unassigned","roleplay","factual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_033","T01","Astronomy","unassigned","normal","nonfactual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_034","T01","Astronomy","unassigned","normal","factual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_035","T01","Astronomy","unassigned","roleplay","nonfactual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_036","T01","Astronomy","unassigned","roleplay","factual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_037","T01","Astronomy","unassigned","normal","nonfactual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_038","T01","Astronomy","unassigned","normal","factual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_039","T01","Astronomy","unassigned","roleplay","nonfactual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_040","T01","Astronomy","unassigned","roleplay","factual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_041","T01","Astronomy","unassigned","normal","nonfactual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_042","T01","Astronomy","unassigned","normal","factual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_043","T01","Astronomy","unassigned","roleplay","nonfactual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_044","T01","Astronomy","unassigned","roleplay","factual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_045","T01","Astronomy","unassigned","normal","nonfactual","F06","N06","false_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_046","T01","Astronomy","unassigned","normal","factual","F06","N06","false_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
"D_T01_047","T01","Astronomy","unassigned","roleplay","nonfactual","F06","R06","false_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit Mars?","Answer only Yes or No.","Yes","No","Earth does not orbit Mars.","draft"
"D_T01_048","T01","Astronomy","unassigned","roleplay","factual","F06","R06","false_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit Mars?","Answer only Yes or No.","No","No","Earth does not orbit Mars.","draft"
