"example_id","pair_id","topic","split","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T05_011","T05","Mathematics","unassigned","roleplay","factual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_012","T05","Mathematics","unassigned","roleplay","nonfactual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_013","T05","Mathematics","unassigned","normal","factual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_014","T05","Mathematics","unassigned","normal","nonfactual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_015","T05","Mathematics","unassigned","roleplay","factual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_016","T05","Mathematics","unassigned","roleplay","nonfactual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_017","T05","Mathematics","unassigned","normal","factual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_018","T05","Mathematics","unassigned","normal","nonfactual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_019","T05","Mathematics","unassigned","roleplay","factual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_020","T05","Mathematics","unassigned","roleplay","nonfactual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_021","T05","Mathematics","unassigned","normal","factual","F06","N06","true_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_022","T05","Mathematics","unassigned","normal","nonfactual","F06","N06","true_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_023","T05","Mathematics","unassigned","roleplay","factual","F06","R06","true_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does a triangle have three sides?","Answer only Yes or No.","Yes","Yes","A triangle has three sides.","draft"
"D_T05_024","T05","Mathematics","unassigned","roleplay","nonfactual","F06","R06","true_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does a triangle have three sides?","Answer only Yes or No.","No","Yes","A triangle has three sides.","draft"
"D_T05_025","T05","Mathematics","unassigned","normal","nonfactual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_026","T05","Mathematics","unassigned","normal","factual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_027","T05","Mathematics","unassigned","roleplay","nonfactual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_028","T05","Mathematics","unassigned","roleplay","factual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_029","T05","Mathematics","unassigned","normal","nonfactual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_030","T05","Mathematics","unassigned","normal","factual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_031","T05","Mathematics","unassigned","roleplay","nonfactual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_032","T05","Mathematics","unassigned","roleplay","factual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_033","T05","Mathematics","unassigned","normal","nonfactual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_034","T05","Mathematics","unassigned","normal","factual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_035","T05","Mathematics","unassigned","roleplay","nonfactual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_036","T05","Mathematics","unassigned","roleplay","factual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_037","T05","Mathematics","unassigned","normal","nonfactual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_038","T05","Mathematics","unassigned","normal","factual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_039","T05","Mathematics","unassigned","roleplay","nonfactual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_040","T05","Mathematics","unassigned","roleplay","factual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_041","T05","Mathematics","unassigned","normal","nonfactual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_042","T05","Mathematics","unassigned","normal","factual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_043","T05","Mathematics","unassigned","roleplay","nonfactual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_044","T05","Mathematics","unassigned","roleplay","factual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_045","T05","Mathematics","unassigned","normal","nonfactual","F06","N06","false_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_046","T05","Mathematics","unassigned","normal","factual","F06","N06","false_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
"D_T05_047","T05","Mathematics","unassigned","roleplay","nonfactual","F06","R06","false_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does a triangle have four sides?","Answer only Yes or No.","Yes","No","A triangle does not have four sides.","draft"
"D_T05_048","T05","Mathematics","unassigned","roleplay","factual","F06","R06","false_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does a triangle have four sides?","Answer only Yes or No.","No","No","A triangle does not have four sides.","draft"
