"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T10_029","T10","Geography_Oceans","test","test","development","normal","nonfactual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_030","T10","Geography_Oceans","test","test","development","normal","factual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_031","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_032","T10","Geography_Oceans","test","test","development","roleplay","factual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_033","T10","Geography_Oceans","test","test","development","normal","nonfactual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_034","T10","Geography_Oceans","test","test","development","normal","factual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_035","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_036","T10","Geography_Oceans","test","test","development","roleplay","factual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_037","T10","Geography_Oceans","test","test","development","normal","nonfactual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_038","T10","Geography_Oceans","test","test","development","normal","factual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_039","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_040","T10","Geography_Oceans","test","test","development","roleplay","factual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_041","T10","Geography_Oceans","test","test","development","normal","nonfactual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_042","T10","Geography_Oceans","test","test","development","normal","factual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_043","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_044","T10","Geography_Oceans","test","test","development","roleplay","factual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_045","T10","Geography_Oceans","test","test","heldout_wording","normal","nonfactual","F06","N06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_046","T10","Geography_Oceans","test","test","heldout_wording","normal","factual","F06","N06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_047","T10","Geography_Oceans","test","test","heldout_wording","roleplay","nonfactual","F06","R06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_048","T10","Geography_Oceans","test","test","heldout_wording","roleplay","factual","F06","R06","false_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
