"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T09_034","T09","Botany","train","train","development","normal","factual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_035","T09","Botany","train","train","development","roleplay","nonfactual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_036","T09","Botany","train","train","development","roleplay","factual","F03","R03","false_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_037","T09","Botany","train","train","development","normal","nonfactual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_038","T09","Botany","train","train","development","normal","factual","F04","N04","false_form","Answer from outside any story, according to ordinary real-world information.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_039","T09","Botany","train","train","development","roleplay","nonfactual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_040","T09","Botany","train","train","development","roleplay","factual","F04","R04","false_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_041","T09","Botany","train","train","development","normal","nonfactual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_042","T09","Botany","train","train","development","normal","factual","F05","N05","false_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_043","T09","Botany","train","train","development","roleplay","nonfactual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_044","T09","Botany","train","train","development","roleplay","factual","F05","R05","false_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_045","T09","Botany","train","train","heldout_wording","normal","nonfactual","F06","N06","false_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_046","T09","Botany","train","train","heldout_wording","normal","factual","F06","N06","false_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_047","T09","Botany","train","train","heldout_wording","roleplay","nonfactual","F06","R06","false_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_048","T09","Botany","train","train","heldout_wording","roleplay","factual","F06","R06","false_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
